Canal,Presupuesto Actual (€),Presupuesto Óptimo (€),Delta (€),Delta (%)
paid_search,3419235.8899999997,2694612.2655442217,-724623.6244557779,-21.2
social_paid,2645525.29,2084870.7502428077,-560654.5397571924,-21.2
display,1196949.9700000002,943285.6270132298,-253664.34298677044,-21.2
video_online,2379147.29,1874945.0682591822,-504202.2217408179,-21.2
email_crm,747711.72,589252.4635974054,-158459.25640259462,-21.2
exterior,1813834.44,1429436.4843282383,-384397.95567176165,-21.2
radio_local,1654364.01,1303761.9212112692,-350602.0887887308,-21.2
prensa,1370220.1500000001,1079835.4198036462,-290384.730196354,-21.2
