,bgt=0.8x,bgt=0.9x,bgt=1.0x,bgt=1.1x,bgt=1.2x
eff=0.8x,176815684.82419753,176963571.12380916,177095820.2167788,177213547.15534693,177318096.3384723
eff=0.9x,176976033.7336852,177142405.8207482,177291186.0503391,177423628.85622823,177541246.6872443
eff=1.0x,177136382.6431728,177321240.51768732,177486551.8838994,177633710.55710953,177764397.03601626
eff=1.1x,177296731.55266047,177500057.8893605,177681801.0694937,177843386.76996905,177986667.89450085
eff=1.2x,177456087.4908831,177676176.8849159,177871279.644498,178042613.27277732,178192310.1316846
