canal,beta_orig,sigma_adstock,contrib_euros,Peso_pct
paid_search,1739.9070116732335,342.7156526250658,596293.3670125202,25.78131330961159
exterior,1553.822670470367,338.5015038619654,525971.3106890343,22.740872031964653
video_online,1278.6654797077138,351.49581100905743,449445.5597991483,19.43220809389335
radio_local,970.0796388675476,343.51275890653756,333234.7331064489,14.407721995810444
display,638.2979510962862,340.285481519585,217203.52564176425,9.39100190662527
prensa,447.135872382389,331.6502046226639,148292.70356975266,6.411576689869294
social_paid,123.81316409206724,342.84403459722637,42448.604713572764,1.835305972225407
email_crm,0.0,336.5586991445591,0.0,0.0
